N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
861.0,KoAct 바이오헬스케어액티브,13090.0,하락  75,-0.57%,0.0,13165.0,13280.0,12960.0
862.0,TIGER 미국AI빅테크10타겟데일리커버드콜,11420.0,상승  205,+1.83%,0.0,11350.0,11420.0,11245.0
863.0,경인양행,2840.0,상승  30,+1.07%,500.0,2790.0,2845.0,2785.0
864.0,HS효성,31700.0,"상승  1,100",+3.59%,5000.0,30500.0,32150.0,30450.0
865.0,조선선재,93900.0,보합0,0.00%,500.0,93900.0,94100.0,93200.0
866.0,세아특수강,13770.0,하락  30,-0.22%,5000.0,13850.0,13850.0,13750.0
867.0,TIGER 코스닥150,11755.0,하락  130,-1.09%,0.0,11920.0,11925.0,11700.0
868.0,진양산업,9040.0,하락  310,-3.32%,500.0,9210.0,9700.0,8720.0
869.0,RISE 코스닥150,11390.0,하락  120,-1.04%,0.0,11570.0,11570.0,11340.0
870.0,CJ씨푸드,3265.0,상승  170,+5.49%,500.0,3095.0,3330.0,3020.0
871.0,대성홀딩스,7270.0,상승  10,+0.14%,1000.0,7260.0,7320.0,7200.0
872.0,KTcs,2740.0,상승  10,+0.37%,500.0,2740.0,2755.0,2710.0
873.0,계룡건설,13090.0,하락  270,-2.02%,5000.0,13320.0,13420.0,13060.0
874.0,샘표식품,25450.0,상승  50,+0.20%,500.0,25250.0,25750.0,25100.0
875.0,청호ICT,2490.0,보합0,0.00%,500.0,0.0,0.0,0.0
876.0,수산중공업,1852.0,하락  10,-0.54%,500.0,1856.0,1882.0,1806.0
877.0,KODEX 미국배당다우존스타겟커버드콜,10640.0,하락  115,-1.07%,0.0,10750.0,10750.0,10610.0
878.0,ACE 중국본토CSI300,27945.0,상승  195,+0.70%,0.0,27750.0,27960.0,27545.0
879.0,KODEX 미국종합채권ESG액티브(H),101660.0,하락  110,-0.11%,0.0,101715.0,101765.0,101655.0
880.0,KODEX 미국나스닥100데일리커버드콜OTM,11045.0,상승  135,+1.24%,0.0,11015.0,11060.0,11010.0
881.0,SJG세종,4080.0,상승  40,+0.99%,500.0,4190.0,4190.0,4080.0
882.0,TIGER 글로벌4차산업혁신기술(합성 H),17360.0,상승  60,+0.35%,0.0,17300.0,17415.0,17200.0
883.0,미래에셋 인버스 2X 코스닥150 선물 ETN,7540.0,상승  175,+2.38%,0.0,7315.0,7595.0,7305.0
884.0,동양철관,719.0,상승  36,+5.27%,500.0,692.0,724.0,681.0
885.0,신한 미국달러 SOFR금리 플러스 ETN,11290.0,상승  5,+0.04%,0.0,11305.0,11305.0,11290.0
886.0,샘표,39250.0,하락  350,-0.88%,1000.0,39800.0,39800.0,38900.0
887.0,한국수출포장,2820.0,하락  30,-1.05%,500.0,2870.0,2870.0,2755.0
888.0,TIGER 글로벌메타버스액티브,11840.0,하락  20,-0.17%,0.0,11855.0,11935.0,11815.0
889.0,동인기연,18260.0,상승  370,+2.07%,100.0,17890.0,18690.0,17700.0
890.0,HDC현대EP,3500.0,하락  55,-1.55%,500.0,3555.0,3555.0,3485.0
891.0,HK 종합채권(AA-이상)액티브,110125.0,보합0,0.00%,0.0,110125.0,110125.0,110125.0
892.0,삼익악기,1230.0,상승  48,+4.06%,500.0,1214.0,1247.0,1185.0
893.0,모나리자,3040.0,하락  90,-2.88%,500.0,3130.0,3150.0,2950.0
894.0,인천도시가스,25400.0,상승  100,+0.40%,5000.0,25300.0,25450.0,25300.0
895.0,TIGER 미국다우존스30,30820.0,하락  100,-0.32%,0.0,30875.0,30875.0,30760.0
896.0,ACE 단기통안채,103775.0,상승  15,+0.01%,0.0,103765.0,103775.0,103760.0
897.0,한투 S&P500 선물 ETN,22160.0,상승  195,+0.89%,0.0,22170.0,22170.0,22155.0
898.0,PLUS KOFR금리,106250.0,상승  15,+0.01%,0.0,106245.0,106250.0,106245.0
899.0,TIGER CD금리플러스액티브(합성),1000690.0,상승  190,+0.02%,0.0,1000690.0,1000690.0,1000685.0
900.0,동남합성,31350.0,하락  100,-0.32%,500.0,31450.0,31500.0,31150.0
901.0,덕성,6940.0,상승  210,+3.12%,500.0,6740.0,7030.0,6650.0
902.0,마이티 26-09 특수채(AAA)액티브,107520.0,보합0,0.00%,0.0,107520.0,107520.0,107520.0
903.0,동방,2260.0,상승  30,+1.35%,1000.0,2215.0,2370.0,2180.0
904.0,대영포장,1000.0,상승  2,+0.20%,500.0,999.0,1007.0,993.0
905.0,우신시스템,5910.0,하락  120,-1.99%,500.0,6140.0,6140.0,5690.0
906.0,아주스틸,4050.0,보합0,0.00%,500.0,4050.0,4095.0,4040.0
907.0,ACE 미국30년국채엔화노출액티브(H),9410.0,보합0,0.00%,0.0,9440.0,9450.0,9380.0
908.0,경동도시가스,18190.0,하락  30,-0.16%,2500.0,18150.0,18280.0,18150.0
909.0,한진중공업홀딩스,3625.0,상승  10,+0.28%,5000.0,3620.0,3675.0,3590.0
910.0,디와이,4060.0,상승  20,+0.50%,500.0,4040.0,4065.0,3985.0
911.0,KODEX K-메타버스액티브,6705.0,하락  95,-1.40%,0.0,6800.0,6825.0,6705.0
912.0,1Q 25-08 회사채(A+이상)액티브,106920.0,상승  20,+0.02%,0.0,106905.0,106930.0,106905.0
913.0,HS애드,6400.0,보합0,0.00%,1000.0,6420.0,6420.0,6360.0
914.0,WON 25-09 회사채(AA-이상)액티브,53830.0,상승  5,+0.01%,0.0,53830.0,53830.0,53820.0
915.0,BNK 26-06 특수채(AAA이상)액티브,50070.0,하락  5,-0.01%,0.0,50060.0,50070.0,50060.0
916.0,국제약품,5000.0,하락  80,-1.57%,1000.0,5080.0,5090.0,4980.0
917.0,두올,3375.0,하락  90,-2.60%,2500.0,3465.0,3490.0,3350.0
918.0,KOSEF 단기자금,104905.0,상승  5,0.00%,0.0,104900.0,104910.0,104895.0
919.0,TIGER 소프트웨어,8300.0,하락  175,-2.06%,0.0,8480.0,8590.0,8285.0
920.0,히어로즈 25-09 회사채(AA-이상)액티브,50430.0,상승  5,+0.01%,0.0,50430.0,50435.0,50430.0
921.0,미래에셋글로벌리츠,2640.0,하락  40,-1.49%,1000.0,2680.0,2690.0,2590.0
922.0,NI스틸,3650.0,하락  25,-0.68%,500.0,3715.0,3715.0,3600.0
923.0,신한 KOFR금리 ETN,104165.0,보합0,0.00%,0.0,104165.0,104165.0,104165.0
924.0,유니퀘스트,4820.0,상승  170,+3.66%,500.0,4700.0,4835.0,4660.0
925.0,신일전자,1465.0,상승  28,+1.95%,500.0,1429.0,1468.0,1429.0
926.0,에이플러스에셋,4590.0,상승  55,+1.21%,500.0,4535.0,4640.0,4510.0
927.0,SOL 미국AI전력인프라,13190.0,상승  65,+0.50%,0.0,13150.0,13230.0,13115.0
928.0,RISE 메타버스,5895.0,하락  105,-1.75%,0.0,5950.0,5980.0,5880.0
929.0,하나 Solactive 2X US Tech Top 10 ETN(H),103175.0,보합0,0.00%,0.0,103175.0,103175.0,103175.0
930.0,TIMEFOLIO K바이오액티브,11395.0,하락  130,-1.13%,0.0,11480.0,11545.0,11310.0
931.0,조흥,171500.0,"하락  1,500",-0.87%,5000.0,171300.0,173000.0,168800.0
932.0,대현,2320.0,하락  55,-2.32%,500.0,2395.0,2400.0,2305.0
933.0,N2 레버리지 S&P500 ETN,51325.0,상승  685,+1.35%,0.0,51280.0,51325.0,51150.0
934.0,한국화장품,6380.0,하락  100,-1.54%,500.0,6480.0,6490.0,6320.0
935.0,덕양산업,3145.0,하락  30,-0.94%,500.0,3170.0,3200.0,3120.0
936.0,RISE 2차전지TOP10인버스(합성),34065.0,"상승  1,500",+4.61%,0.0,32545.0,34255.0,32545.0
937.0,광전자,1761.0,상승  4,+0.23%,500.0,1757.0,1770.0,1734.0
938.0,KODEX 배당가치,13210.0,하락  100,-0.75%,0.0,13320.0,13320.0,13170.0
939.0,휴니드,7200.0,하락  100,-1.37%,5000.0,7280.0,7410.0,7010.0
940.0,크라운제과,8090.0,상승  30,+0.37%,200.0,8060.0,8130.0,8000.0
941.0,KODEX AI반도체핵심장비,8500.0,상승  340,+4.17%,0.0,8280.0,8525.0,8265.0
942.0,금호건설,2725.0,하락  50,-1.80%,5000.0,2775.0,2780.0,2710.0
943.0,아남전자,1300.0,하락  41,-3.06%,500.0,1338.0,1338.0,1290.0
944.0,RISE 코스피,25345.0,하락  355,-1.38%,0.0,25695.0,25695.0,25345.0
945.0,신한 레버리지 은 선물 ETN(H),9995.0,하락  95,-0.94%,0.0,10090.0,10130.0,9995.0
946.0,1Q K200액티브,10390.0,하락  95,-0.91%,0.0,10450.0,10455.0,10350.0
947.0,TIGER AI반도체핵심공정,8340.0,상승  360,+4.51%,0.0,8040.0,8340.0,8040.0
948.0,한솔홀딩스,2370.0,하락  15,-0.63%,1000.0,2385.0,2390.0,2350.0
949.0,TIGER 여행레저,3000.0,하락  40,-1.32%,0.0,3040.0,3050.0,3000.0
950.0,HS화성,9750.0,상승  80,+0.83%,5000.0,9640.0,9750.0,9310.0
